order,avg length,B_time,BPlus_time,BStar_time
2408,168877,6,5,6
2409,168877,6,5,6
2410,168877,6,5,6
2411,168877,6,5,6
2412,168877,6,5,6
2413,168877,6,5,6
2414,168877,6,5,6
2415,168877,6,5,6
2416,168877,6,5,6
2417,168877,6,5,6
2418,168877,6,5,6
2419,168877,6,5,6
2420,168877,6,5,6
2421,168877,6,5,6
2422,168877,6,5,6
2423,168877,6,5,6
2424,168877,6,5,6
2425,168877,6,5,6
2426,168877,6,5,6
2427,168877,6,5,6
2428,168877,6,5,6
2429,168877,6,5,6
2430,168877,6,5,6
2431,168877,6,5,6
2432,168877,6,5,6
2433,168877,6,5,6
2434,168877,6,5,6
2435,168877,6,5,6
2436,168877,6,6,6
2437,168877,6,5,6
2438,168877,6,5,6
2439,168877,6,5,6
2440,168877,6,5,6
2441,168877,6,5,6
2442,168877,6,5,6
2443,168877,6,5,6
2444,168877,6,5,6
2445,168877,6,5,6
2446,168877,6,5,6
2447,168877,6,5,6
2448,168877,6,5,6
2449,168877,6,5,6
2450,168877,6,5,6
2451,168877,6,5,6
2452,168877,6,5,6
2453,168877,6,5,6
2454,168877,6,5,6
2455,168877,6,5,6
2456,168877,6,5,6
2457,168877,6,5,6
2458,168877,6,5,6
2459,168877,6,5,6
2460,168877,6,5,6
2461,168877,6,5,5
2462,168877,6,5,6
2463,168877,5,5,6
2464,168877,6,5,5
2465,168877,6,5,6
2466,168877,6,5,6
2467,168877,6,5,6
2468,168877,6,5,6
2469,168877,6,5,6
2470,168877,6,5,6
2471,168877,6,5,5
2472,168877,6,5,6
2473,168877,6,5,6
2474,168877,6,5,6
2475,168877,6,5,6
2476,168877,6,5,6
2477,168877,6,5,6
2478,168877,6,5,6
2479,168877,6,5,6
2480,168877,6,5,6
2481,168877,6,5,6
2482,168877,6,5,6
2483,168877,6,5,6
2484,168877,6,5,6
2485,168877,6,5,6
2486,168877,6,5,6
2487,168877,6,5,5
2488,168877,6,5,6
2489,168877,6,5,6
2490,168877,6,5,6
2491,168877,6,5,6
2492,168877,6,5,6
2493,168877,6,5,5
2494,168877,6,5,6
2495,168877,6,5,6
2496,168877,6,5,6
2497,168877,6,5,6
2498,168877,6,5,6
2499,168877,6,5,6
2500,168877,6,5,6
2501,168877,6,5,6
2502,168877,6,5,6
2503,168877,6,5,6
2504,168877,6,5,6
2505,168877,6,5,6
2506,168877,6,5,6
2507,168877,6,5,6
2508,168877,6,5,6
2509,168877,6,5,6
2510,168877,6,5,6
2511,168877,6,5,6
2512,168877,6,5,6
2513,168877,6,5,6
2514,168877,6,5,6
2515,168877,6,5,6
